animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A259468,BIRD,U,3,0,PARAKEET,GREEN,YELLOW,75,OWNER SUR,EVALUATION,11/18/17,ADOPTION,NEW OWNER,1/2/18
A259463,BIRD,U,3,0,PARAKEET,GREEN,YELLOW,75,OWNER SUR,EVALUATION,11/18/17,ADOPTION,NEW OWNER,1/2/18
A248445,OTHER,N,2,0,RABBIT SH,BLACK,,62,OWNER SUR,EVALUATION,12/1/17,ADOPTION,NEW OWNER,1/2/18
A259821,CAT,S,8,4,DOMESTIC LH,TORBIE,,50,OWNER SUR,EVALUATION,12/13/17,ADOPTION,NEW OWNER,1/2/18
A244936,CAT,N,2,6,DOMESTIC SH,BLACK,WHITE,43,OWNER SUR,EVALUATION,12/20/17,ADOPTION,NEW OWNER,1/2/18
A259917,CAT,S,1,0,DOMESTIC SH,CALICO,,42,OWNER SUR,EVALUATION,12/21/17,ADOPTION,NEW OWNER,1/2/18
A246112,CAT,N,0,1,DOMESTIC SH,ORANGE,TAB MAC WH,25,OWNER SUR,EUTH REQ,1/7/18,EUTH,OWN REQ,1/7/18
A259798,CAT,S,12,0,DOMESTIC SH,TAB CLS WH,,51,OWNER SUR,EVALUATION,12/12/17,ADOPTION,NEW OWNER,1/5/18
A259842,CAT,N,12,0,DOMESTIC SH,WHITE,,48,OWNER SUR,EVALUATION,12/15/17,EUTH,SICK-OTHER,1/5/18
A259937,DOG,S,7,0,MIX THAT LOOKS LIKE A BEAGLE,BLACK,TAN,40,OWNER SUR,EVALUATION,12/23/17,ADOPTION,TIER 3,1/5/18
A259938,DOG,S,13,0,MIX THAT LOOKS LIKE A OLDENG SHEEPDOG,GRAY,WHITE,40,OWNER SUR,EVALUATION,12/23/17,EUTH,SICK-OTHER,1/5/18
A259711,OTHER,M,1,6,RAT,BLACK,,58,OWNER SUR,EVALUATION,12/5/17,EUTH,SICK-OTHER,1/6/18
A259961,CAT,S,5,5.7,DOMESTIC SH,TORBIE,WHITE,37,OWNER SUR,EVALUATION,12/26/17,ADOPTION,NEW OWNER,1/6/18
A259880,OTHER,N,0,6,REX,GRAY,WHITE,25,RETURN,ADOPTION,1/7/18,ADOPTION,NEW OWNER,1/11/18
A259838,CAT,N,8,0,DOMESTIC SH,BLACK,WHITE,48,OWNER SUR,EVALUATION,12/15/17,ADOPTION,NEW OWNER,1/7/18
A260022,CAT,N,0,9,DOMESTIC SH,TAB CLS WH,ORANGE,33,OWNER SUR,EVALUATION,12/30/17,ADOPTION,NEW OWNER,1/7/18
A259897,CAT,S,10,10,DOMESTIC SH,TAB MACKRL,ORANGE,43,OWNER SUR,EVALUATION,12/20/17,ADOPTION,NEW OWNER,1/9/18
A259932,CAT,S,1,0,DOMESTIC SH,TORTIE,,41,OWNER SUR,EVALUATION,12/22/17,ADOPTION,NEW OWNER,1/10/18
A259710,OTHER,M,1,6,RAT,BLACK,,58,OWNER SUR,EVALUATION,12/5/17,ADOPTION,NEW OWNER,1/11/18
A259860,BIRD,U,14,9,COCKATIEL,GRAY,YELLOW,47,OWNER SUR,EVALUATION,12/16/17,ADOPTION,NEW OWNER,1/11/18
A260089,CAT,N,1,0,DOMESTIC SH,BLACK,,25,STRAY,STRAY,1/7/18,,,
A260109,DOG,F,2,1,MIX THAT LOOKS LIKE A COCKER SPAN,BLACK,,24,TRNSFR-EXT,RESCUE GRP,1/8/18,,,
A259607,DOG,N,9,4,MIX THAT LOOKS LIKE A CHIHUAHUA SH,BLACK,WHITE,64,OWNER SUR,EVALUATION,11/29/17,ADOPTION,TIER 3,1/13/18
A259681,BIRD,U,40,0,PARROT,GREEN,YELLOW,61,OWNER SUR,EVALUATION,12/2/17,ADOPTION,NEW OWNER,1/13/18
A259760,CAT,N,10,6,DOMESTIC SH,TAB MACKRL,BROWN,55,OWNER SUR,EVALUATION,12/8/17,ADOPTION,NEW OWNER,1/13/18
A260002,DOG,S,8,0,GERM SHEPHERD,BLACK,TAN,35,OWNER SUR,EVALUATION,12/28/17,ADOPTION,TIER 2,1/13/18
